##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=54 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=59 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=63 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=69 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=70 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=93 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=10 detailed_words_logged=10
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=100 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=102 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=11 detailed_words_logged=11
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=110 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=113 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=116 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=12 detailed_words_logged=12
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=122 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=131 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=132 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=142 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=143 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=147 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=169 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=217 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=24 detailed_words_logged=24
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=242 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=252 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=51 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_A000 changed_words_total=82 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_page_C000 changed_words_total=8 detailed_words_logged=8
[DIFF_REGION] pair=early_to_settle name=bootctx_alias_A0006000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=bootparam_alias_A001D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=bootparam_alias_A001D000 changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=early_to_settle name=bootparam_alias_A002D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=callback_globals_80679400 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=callback_table_51600 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=kdata_page changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=early_to_settle name=kdata_page changed_words_total=2 detailed_words_logged=2
[DIFF_REGION] pair=early_to_settle name=obj_table_8066BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=obj_table_8067BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=10 detailed_words_logged=10
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=3 detailed_words_logged=3
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=4 detailed_words_logged=4
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=5 detailed_words_logged=5
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=6 detailed_words_logged=6
[DIFF_REGION] pair=early_to_settle name=objptr_table_80660000 changed_words_total=7 detailed_words_logged=7
[DIFF_REGION] pair=early_to_settle name=resume_context_2200 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=10 detailed_words_logged=10
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=11 detailed_words_logged=11
